delta(mm) h R(mm) rho mu E V_bc(mm/s) delta_std V_bc_std
5.63409225310467 6.4 7.0 0.0078 127.9153697 77288.96056 2218.5779261636385 0.0396211579577577 5.170775308014347
4.5152671755725216 6.4 7.0 0.0078 127.9153697 77288.96056 1486.8442181928335 0.0308507777429572 1.2605111358204144
4.226605810814732 6.4 7.0 0.0078 127.9153697 77288.96056 1318.4173286030134 0.0428590422346651 3.022982650695804
3.6452830188679246 6.4 7.0 0.0078 127.9153697 77288.96056 986.5551137481124 0.0 0.520995625031203
3.4287586891757686 6.4 7.0 0.0078 127.9153697 77288.96056 869.5462682646413 0.0331667548543166 2.4221605608454686
3.012292602834428 6.4 7.0 0.0078 127.9153697 77288.96056 674.6590469734132 0.0208693397856877 1.9694984738037045
2.5222773915921883 6.4 7.0 0.0078 127.9153697 77288.96056 535.1358102574086 0.0197916034483584 1.2016822258065445
2.3750444171108387 6.4 7.0 0.0078 127.9153697 77288.96056 460.8286142432758 0.0363238766224318 0.8003200264722915
2.1446289432187724 6.4 7.0 0.0078 127.9153697 77288.96056 362.90706880904816 0.0431738548838487 1.0721661982028408
6.588119750070541 6.4 6.0 0.0078 127.9153697 77288.96056 3133.927263432963 0.5996003944907432 28.726752485752
5.146551724137932 6.4 6.0 0.0078 127.9153697 77288.96056 2241.718855846269 0.0298629449580837 1.3192535990782
4.100436681222709 6.4 6.0 0.0078 127.9153697 77288.96056 1514.9364967595866 0.0262008733624458 0.4578626192829316
3.750804412778674 6.4 6.0 0.0078 127.9153697 77288.96056 1301.201000733255 0.0263979591893637 3.2526463501186447
3.2500000000000013 6.4 6.0 0.0078 127.9153697 77288.96056 1013.3262192313424 0.0263157894736831 0.3122482859843679
2.9947136563876646 6.4 6.0 0.0078 127.9153697 77288.96056 876.3577809560923 0.020042842583397 2.2384564689656683
2.6336283185840688 6.4 6.0 0.0078 127.9153697 77288.96056 696.8288731359262 0.0290826136728405 0.7859396444556478
2.256008965144138 6.4 6.0 0.0078 127.9153697 77288.96056 516.551021866037 0.0175112297092092 1.3876632348837503
2.0678634085213035 6.4 6.0 0.0078 127.9153697 77288.96056 446.67901031770486 0.0525421102250475 2.703097606079357
1.8303676201835208 6.4 6.0 0.0078 127.9153697 77288.96056 355.1403493060193 0.0429075242980343 2.327048114641542
5.640022308578007 6.4 5.0 0.0078 127.9153697 77288.96056 3136.7667662902363 0.0636280939486413 8.637205476366656
4.590417206390328 6.4 5.0 0.0078 127.9153697 77288.96056 2249.913482079204 0.0320203504994658 5.0924911554762335
3.668805583699201 6.4 5.0 0.0078 127.9153697 77288.96056 1546.248979961711 0.0425903030781915 4.030172280438948
3.3815789473684217 6.4 5.0 0.0078 127.9153697 77288.96056 1347.3035945945946 0.0263157894736849 0.7276696226889162
2.8571428571428577 6.4 5.0 0.0078 127.9153697 77288.96056 1040.024006947233 0.0 0.0
2.6232570956186283 6.4 5.0 0.0078 127.9153697 77288.96056 891.3470397031737 0.0327557227311713 2.7585296936595767
2.2974358974358995 6.4 5.0 0.0078 127.9153697 77288.96056 688.3382206621695 0.0229340305384589 0.5031491360858671
1.9690009436817844 6.4 5.0 0.0078 127.9153697 77288.96056 540.021019960857 0.0358359589583534 1.055372044584054
1.867910122164049 6.4 5.0 0.0078 127.9153697 77288.96056 485.8963837491529 0.0372379866643811 0.9816839396310324
1.5093804890744105 6.4 5.0 0.0078 127.9153697 77288.96056 360.3756752995046 0.0912712300446514 2.931129697534272
4.959911502296612 6.4 4.0 0.0078 127.9153697 77288.96056 3116.295632085188 0.0613455966769206 8.60236825804137
3.9821072141431424 6.4 4.0 0.0078 127.9153697 77288.96056 2238.794725770551 0.0228084008418067 7.305453588304559
